tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
93,17:34.6,19:08.3,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42526,Subscriber,1992,2
1685,39:24.2,07:29.9,3202,Newport PATH,40.7272235,-74.0337589,3202,Newport PATH,40.7272235,-74.0337589,42525,Customer,1977,1
925,44:18.0,59:43.6,3210,Pershing Field,40.74267714,-74.05178863,3209,Brunswick St,40.7241765,-74.0506564,45261,Subscriber,1962,1
182,45:54.2,48:56.8,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3639,Harborside,40.7192517,-74.034234,27705,Subscriber,1949,1
1288,05:48.4,27:16.7,3267,Morris Canal,40.71241882,-74.03852552,3267,Morris Canal,40.71241882,-74.03852552,45656,Customer,1969,0
456,42:22.2,49:58.6,3276,Marin Light Rail,40.71458404,-74.04281706,3638,Washington St,40.7242941,-74.0354826,45967,Subscriber,1988,1
720,48:14.8,00:15.1,3185,City Hall,40.7177325,-74.043845,3192,Liberty Light Rail,40.7112423,-74.0557013,38906,Subscriber,1967,1
432,54:54.0,02:06.5,3678,Fairmount Ave,40.72572614,-74.07195926,3195,Sip Ave,40.7308971,-74.06391263,49081,Subscriber,1995,1
2002,55:14.7,28:37.1,3187,Warren St,40.7211236,-74.03805095,3187,Warren St,40.7211236,-74.03805095,48753,Customer,1969,0
4657,01:35.2,19:12.8,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,38906,Subscriber,1967,1
947,02:03.8,17:51.7,3273,Manila & 1st,40.72165072,-74.04288411,3211,Newark Ave,40.72152515,-74.04630454,31060,Subscriber,1952,1
796,09:21.8,22:38.5,3276,Marin Light Rail,40.71458404,-74.04281706,3639,Harborside,40.7192517,-74.034234,44664,Subscriber,1993,1
743,20:20.0,32:43.9,3192,Liberty Light Rail,40.7112423,-74.0557013,3185,City Hall,40.7177325,-74.043845,42371,Customer,1969,0
